PREFIX, NUMBER, TOTAL, 0.0-.9, 1.0-1.9, 2.0-2.9, 3.0-4.0
TPSYCH,499,124,0.008064516129032258,0.0,0.0,0.9919354838709677
TRELIG,105,309,0.0744336569579288,0.032362459546925564,0.17475728155339806,0.7184466019417476
TRELIG,210,103,0.02912621359223301,0.06796116504854369,0.24271844660194175,0.6601941747572816
TRELIG,310,18,0.05555555555555555,0.0,0.0,0.9444444444444444
TRELIG,321,368,0.06521739130434782,0.06521739130434782,0.14130434782608695,0.7282608695652174
TRELIG,333,213,0.046948356807511735,0.0892018779342723,0.20657276995305165,0.6572769953051644
TRELIG,345,19,0.0,0.0,0.0,1.0
TRELIG,350,942,0.032908704883227176,0.036093418259023353,0.09235668789808917,0.8386411889596603
TRELIG,365,92,0.043478260869565216,0.13043478260869565,0.25,0.5760869565217391
TRELIG,366,87,0.05747126436781609,0.022988505747126436,0.22988505747126436,0.6896551724137931
